Set,X,Y
1,293.15,1.4149339286128e-05
1,308.15,1.41490072338034e-05
1,278.15,1.41496722492616e-05
1,323.15,1.41486761002473e-05
1,280.338470506255,1.41496236097834e-05
1,290.961529493745,1.41493878053261e-05
1,273.773058987491,1.41497695838613e-05
1,280.338470506255,1.41496236050821e-05
1,269.715411518764,1.4149859891682e-05
1,273.773058987491,1.41497695831021e-05
1,267.207647468726,1.4149915741093e-05
1,269.715411518764,1.41498598947579e-05
1,265.657764050038,1.41499502568423e-05
1,267.207647468726,1.41499157432751e-05
1,264.699883418689,1.41499716113978e-05
1,265.657764050038,1.41499502591706e-05
1,264.107880631349,1.41499848036999e-05
1,264.699883418688,1.41499716110826e-05
1,263.742002787339,1.41499929531338e-05
1,264.107880631349,1.41499848072171e-05
