Set,X,Y
1,0.0001,1.41493392781173e-05
1,0.00015,1.44715421205664e-05
1,0,0
1,5e-05,1.19390736869444e-05
1,0.000107294901687516,1.42459934109648e-05
1,0.000142705098312484,1.44543574661123e-05
1,0.000142705098312484,1.44543574627067e-05
1,0.000164589803375032,1.44967423501188e-05
1,0.000164589803375032,1.44967423500813e-05
1,0.000178115294937453,1.45145228531675e-05
1,0.000178115294937453,1.45145228473512e-05
1,0.000186474508437579,1.45243113319092e-05
1,0.000186474508437579,1.4524311335153e-05
1,0.000191640786499874,1.45300751009397e-05
1,0.000191640786499874,1.45300750952648e-05
1,0.000194833721937705,1.45335434917662e-05
