Set,X,Y
1,0.02,1.41493392757426e-05
1,0.03,2.00300600693913e-05
1,0.05,2.73962659893396e-05
1,0.01,7.2586209180446e-06
1,0.0252786404500042,1.73163470464581e-05
1,0.0347213595499958,2.21764333844707e-05
1,0.0347213595499958,2.21764334831482e-05
1,0.0405572809000084,2.42621088434566e-05
1,0.0405572809000084,2.42621087521774e-05
1,0.0441640786499874,2.55145355558311e-05
1,0.0441640786499874,2.55145356470734e-05
1,0.046393202250021,2.6301219143431e-05
1,0.046393202250021,2.63012191085412e-05
1,0.0477708763999664,2.66971511077697e-05
1,0.0477708763999664,2.66971511318209e-05
1,0.0486223258500547,2.67866760138554e-05
1,0.0486223258500547,2.67866757631309e-05
1,0.0491485505499117,2.69131333724954e-05
1,0.0491485505499117,2.69131335867381e-05
1,0.049473775300143,2.71434706390081e-05
