Set,X,Y
1,0.007,1.41493392812925e-05
1,0.01,1.41817611153908e-05
1,0.016,1.43181273091053e-05
1,0.004,1.30598728352502e-05
1,0.00858359213500126,1.41384301994295e-05
1,0.0114164078649987,1.42975891241752e-05
1,0.0114164078649987,1.42975891673615e-05
1,0.0131671842700025,1.43441793341796e-05
1,0.0131671842700025,1.43441793110364e-05
1,0.0142492235949962,1.43396322155662e-05
1,0.0124984471899924,1.42771352114577e-05
1,0.0131671842700025,1.43441793328972e-05
1,0.0131671842700025,1.43441793315491e-05
1,0.0135804865149861,1.43163238631169e-05
1,0.012911749434976,1.430865734757e-05
1,0.0131671842700025,1.43441793290891e-05
1,0.0131671842700025,1.43441793181689e-05
1,0.0133250516799596,1.42835853689941e-05
