Set,X,Y
1,0,1.41493392755848e-05
1,0.261799387799149,1.41529168523464e-05
1,-0.523598775598299,1.41357493639882e-05
1,-0.261799387799149,1.41445584237327e-05
1,0.0381960159169322,1.41501476166695e-05
1,0.223603371882217,1.4152957346614e-05
1,0.223603371882217,1.41529573430537e-05
1,0.338191419633014,1.41517176286984e-05
1,0.152784063667729,1.41523327482505e-05
1,0.223603371882217,1.41529573447399e-05
1,0.223603371882217,1.41529573443993e-05
1,0.267372111418526,1.4152883198038e-05
1,0.196552803204037,1.41528149386286e-05
1,0.223603371882217,1.41529573442144e-05
